name,address,rating,review_count,website,maps_url,status,lead_score
Nashville Dental Center,"3754 Nolensville Pk, Nashville, TN 37211, USA",4.6,789,https://www.nashvilledc.net/,https://maps.google.com/?cid=4914955074262111156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
Terry's Service Center Inc.,"847 Hillwood Blvd, Nashville, TN 37209, USA",4.6,780,https://terrysservicecenter.com/,https://maps.google.com/?cid=14861524688535694114&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
Hillsboro Village Auto Service,"1820 21st Ave S, Nashville, TN 37212, USA",4.6,280,http://www.hillsborovillageautoservice.com/,https://maps.google.com/?cid=5785006643415261171&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
Precision Tune Auto Care,"5700 Charlotte Pike, Nashville, TN 37209, USA",4.6,547,https://www.precisiontune.com/NashvilleTN_CharlottePk,https://maps.google.com/?cid=4399148055064227203&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
THE MECHANIC,"5114 Nolensville Pk, Nashville, TN 37211, USA",4.6,329,http://www.themechanicnashville.com/,https://maps.google.com/?cid=5984387505967985575&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
Brown's Automotive,"3214 Gallatin Pike, Nashville, TN 37216, USA",4.6,389,,https://maps.google.com/?cid=3312316814025261286&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
Advance Dentistry,"5823 Wooster Pike, Cincinnati, OH 45227, USA",4.6,1183,https://nofeardentist.com/location/oh-fairfax-mariemont-5823-wooster-pike/?utm_campaign=gmb,https://maps.google.com/?cid=8023114890186526460&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
Cincinnati Dental Services Edgewood Kentucky,"599 Freedom Park Dr Ste 100, Crestview Hills, KY 41017, USA",4.6,871,http://cdservicesedgewoodky.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://maps.google.com/?cid=3493499034163478890&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
Emergency Dental of Cincinnati,"3349 Whitfield Ave, Cincinnati, OH 45220, USA",4.6,1023,https://emergencydentalofcincinnati.com/,https://maps.google.com/?cid=10535198306265382086&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
Probilt Automotive,"4106 Preston Hwy, Louisville, KY 40213, USA",4.6,254,https://www.greatwater360autocare.com/shops/probilt-automotive-louisville,https://maps.google.com/?cid=5375541175435446042&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
